Id,First Emotion,Second Emotion,Third Emotion,anger,contempt,disgust,fear,disappointment,shame,regret,sadness,compassion,relief,admiration,love,contentment,joy,pride,amusement,interest
0,sadness,contentment,contempt,2,3,1,0,2,3,1,7,3,0,3,1,4,1,3,3,0
1,,,,4,3,3,1,4,0,0,1,0,3,4,4,3,4,2,0,4
2,,,,4,1,3,0,2,3,1,4,4,4,2,2,4,2,0,2,2
3,,,,1,1,1,4,2,1,3,2,0,4,2,1,4,3,4,3,4
4,,,,1,2,1,3,1,2,2,0,4,2,0,2,4,4,2,0,0
5,,,,4,2,2,3,0,0,1,4,2,1,1,1,0,2,4,1,1
6,,,,4,3,1,3,1,1,2,3,3,0,4,4,2,2,3,0,2
7,,,,2,1,0,1,1,1,2,3,2,0,4,0,3,1,2,2,0
8,,,,1,4,2,4,2,4,0,1,4,4,4,4,3,4,3,0,2
9,,,,1,0,4,4,3,3,0,3,4,1,3,3,1,1,4,2,3
10,,,,2,4,1,2,1,0,1,3,1,0,0,4,3,3,4,2,4
11,,,,2,4,2,0,2,0,1,1,4,1,1,2,1,4,0,1,4
12,,,,0,1,0,0,3,2,1,3,1,0,1,4,1,4,2,2,1
13,,,,3,1,2,4,3,3,4,1,0,3,4,1,2,1,2,2,1
14,,,,3,2,2,3,1,0,2,1,1,2,4,1,1,2,0,0,4
15,,,,1,4,1,2,3,3,4,2,4,3,1,1,4,1,2,2,0
16,,,,0,0,1,1,4,2,3,2,0,3,2,4,4,4,0,1,3
17,,,,3,0,4,3,4,3,3,1,3,2,2,1,3,3,3,4,2
18,,,,4,4,3,3,3,2,2,3,1,1,2,2,3,1,4,3,1
19,,,,3,3,0,0,0,2,2,4,2,1,2,2,0,1,1,1,1
20,,,,0,2,2,1,1,0,2,1,4,2,1,2,0,0,1,3,1
21,,,,3,4,0,2,3,2,4,2,0,4,0,4,1,3,3,0,1
22,,,,4,0,1,4,4,2,0,3,2,1,1,2,1,0,0,3,3
23,,,,3,1,1,1,2,2,0,2,1,0,4,4,0,4,4,1,4
24,,,,1,2,2,4,2,1,2,0,1,0,2,4,2,2,1,1,1
25,,,,4,3,1,0,1,3,3,4,3,4,1,2,4,1,4,3,3
26,,,,3,1,3,2,0,1,0,3,4,3,3,0,3,1,3,3,2
27,,,,1,1,4,1,3,3,3,0,0,3,1,4,2,4,0,2,4
28,,,,0,4,2,0,3,1,1,4,3,1,3,1,4,2,0,4,0
29,,,,1,0,2,0,1,0,1,1,3,0,3,4,3,1,4,0,4
30,,,,0,3,2,1,2,0,0,1,2,0,0,0,3,1,2,1,4
31,,,,2,1,4,4,2,0,4,4,2,4,2,4,0,1,4,4,3
32,,,,2,0,4,2,0,2,3,1,4,3,0,2,3,3,0,1,2
33,,,,2,2,3,1,0,3,2,2,3,2,1,4,1,3,1,1,1
34,,,,4,1,2,2,2,3,3,1,4,4,3,0,1,3,3,2,3
35,,,,2,1,0,0,2,3,3,4,2,0,1,4,3,4,2,3,0
36,,,,3,1,3,4,2,0,2,3,4,1,0,4,2,1,2,1,3
37,,,,4,1,2,0,3,1,3,3,3,4,1,3,4,3,3,0,1
38,,,,3,2,0,4,2,4,0,2,4,2,0,4,0,1,4,3,0
39,,,,2,4,2,3,4,1,2,2,0,0,4,0,4,4,2,1,1
40,,,,0,3,0,2,0,1,2,3,1,0,3,1,3,0,4,2,4
41,,,,4,0,2,2,2,4,1,1,0,0,1,3,0,2,3,2,2
42,,,,4,1,4,3,0,0,2,0,3,0,2,1,3,1,4,2,0
43,,,,2,2,2,3,3,1,0,4,0,2,2,4,0,3,4,0,0
44,,,,0,0,0,1,1,1,0,1,2,0,2,1,4,1,2,0,3
45,,,,2,2,3,2,3,4,3,0,4,2,1,2,0,3,1,0,2
46,,,,0,3,4,0,2,4,1,1,2,2,4,1,2,3,4,2,3
47,,,,2,2,1,2,3,3,2,2,2,4,3,0,2,1,1,2,1
48,,,,3,3,2,1,2,1,2,4,3,4,4,4,1,1,3,1,4
49,,,,0,3,2,0,0,0,1,4,1,3,3,4,1,1,1,1,3
50,,,,0,0,0,3,0,2,2,0,3,1,0,2,4,0,2,4,4
51,,,,0,2,2,3,4,2,3,2,0,1,2,1,3,1,4,2,2
52,,,,3,0,1,2,0,3,2,1,1,4,3,3,3,1,4,2,1
53,,,,1,3,1,0,0,0,1,4,2,4,2,3,2,4,0,0,1
54,,,,2,0,1,3,2,0,0,1,3,4,1,3,2,2,0,3,4
55,,,,4,0,1,1,2,3,0,1,1,0,3,4,1,2,0,1,4
56,,,,2,2,3,0,3,4,3,4,2,1,2,4,4,4,1,1,4
